歌星id,歌星名称
"1121","陶大宇"
"1122","陶虹"
"1123","同级生"
"1124","屠梅华"
"1125","万梓良"
"1126","王柏森"
"1127","王宏伟"
"1129","王磊"
"1130","王佩"
"1131","王识贤"
"1133","王喜"
"1134","王秀芬"
"1138","韦绮姗"
"1139","韦秀娴"
"1140","翁倩玉"
"1142","吴佰伦"
"1143","吴恩琪"
"1144","吴启华"
"1145","吴莺音"
"1147","希莉娜娅"
"1149","萧玉芬"
"1150","萧正楠"
"1151","萧淑慎"
"1153","谢采芸"
"1154","谢金燕"
"1155","谢莉斯"
"1156","谢天华"
"1157","新马师曾"
"1158","咻比嘟哗"
"1159","徐静蕾"
"1160","徐乃麟"
"1161","徐绍斌"
"1162","徐樱"
"1163","徐玉兰"
"1164","徐镇东"
"1165","徐仲薇"
"1166","许子聪"
"1167","宣萱"
"1168","薛家燕"
"1169","雪儿"
"1170","薰妮"
"1171","亚雅"
"1172","阎荷婷"
"1173","颜联武"
"1174","杨恭如"
"1175","杨洪基"
"1176","杨克强"
"1178","杨思敏"
"1179","杨迎"
"1180","杨紫琼"
"1181","姚桦"
"1182","野孩子"
"1183","叶良俊"
"1184","叶全真"
"1185","叶胜钦"
"1186","叶璇"
"1187","叶瑗菱"
"1188","伊雪莉"
"1189","音乐磁场"
"1190","殷浩"
"1191","尹光"
"1192","英子"
"1193","永邦"
"1194","于淑珍"
"1195","余文乐"
"1196","宇多田光"
"1197","元彬"
"1198","袁咏仪"
"1199","袁志伟"
"1200","曾晓萍"
"1201","曾治伦"
"1202","詹妮佛"
"1203","张崇德"
"1204","张崇基"
"1205","张楚"
"1206","张鸽子"
"1208","张林"
"1209","张曼玉"
"1212","张艺谋"
"1214","章子怡"
"1215","蟑螂乐队"
"1218","郑丹瑞"
"1219","郑惠玉"
"1222","芝麻龙眼"
"1223","指南针乐队"
"1224","钟楚红"
"1225","钟丽缇"
"1226","周海媚"
"1228","周灵燕"
"1229","周润发"
"1230","周星驰"
"1232","朱逢博"
"1233","朱含芳"
"1236","猪头皮"
"1238","左安安"
"1308","徐若萱"
"1327","庄学忠"
"1505","郭公芳"
"1529","刀郎"
"1717","b2"
"1718","张强"
"1721","文章"
"1722","何笃霖"
"1723","本多ruru"
"1724","tension"
"1730","周亮"
"1731","马郁"
"1732","薛凯琪"
"1733","张韶涵"
"1734","赵颂茹"
"1735","津亭"
"1736","黑龙"
"1738","崔京浩"
"1743","芭比"
"1744","F.I.R"
"1745","王心凌"
"1746","罗志祥"
"1747","东来东往"
"1748","安又琪"
"1749","张含韵"
"1750","阿桑"
"1751","刘嘉亮"
"1752","朱铭捷"
"1753","陈亮吟"
"1754","七朵花"
"1755","183CLUB"
"1756","AI MINI"
"1757","ENERGY"
"1758","TANK"
"1759","YUMMY"
"1760","艾尔肯"
"1761","巴哈尔古丽"
"1762","办桌二人组"
"1763","蔡诗芸"
"1764","曹格"
"1765","侧田"
"1766","陈好"
"1767","动静乐团"
"1768","龚诗嘉"
